experiment_id,variant_id,seed,cumulative_payoff,mean_payoff,early_exploitation_rate,betrayal_recovery_time,selection_gini,entropy_early,entropy_mid,entropy_late,beta_range,trust_approach_latency,trust_withdrawal_latency,trust_asymmetry
betrayal,no_affect,14215,1835.5,9.1775,0.0,23.0,0.2,8.962408959187849,8.7673365463655,8.449057153974818,,1.0,2.0,2.0
betrayal,no_affect,14216,1875.5,9.3775,0.0,,0.2475,9.070820811991453,9.0430593562725,8.953314927838841,,3.0,1.0,0.3333333333333333
betrayal,no_affect,14217,2147.5,10.7375,0.0,5.0,0.5375,8.797826747292786,8.670211592843703,8.368499860414339,,1.0,1.0,1.0
betrayal,no_affect,14218,1855.5,9.2775,0.0,4.0,0.3275,9.08256714719579,8.928358618675524,8.80316407815695,,1.0,2.0,2.0
betrayal,no_affect,14219,2041.5,10.2075,0.0,116.0,0.435,9.01163001424289,8.850725080051829,8.715338388133612,,2.0,1.0,0.5
open_graded,cautious_high_alpha,4200,2186.5,10.9325,0.06666666666666667,4.0,0.655,8.351343629314746,7.110141601324998,7.123778831218557,0.6729707526120706,1.0,1.0,1.0
open_graded,cautious_high_alpha,4201,2268.0,11.34,0.06666666666666667,4.0,0.67,7.894070712570742,6.916102153013039,6.437494561916563,0.6494499128917345,3.0,1.0,0.3333333333333333
open_graded,cautious_high_alpha,4202,1900.0,9.5,0.03333333333333333,82.0,0.3475,8.889012419642393,8.699224347184476,8.015870863229747,1.0173826512223072,1.0,4.0,4.0
open_graded,cautious_high_alpha,4203,1890.5,9.4525,0.0,4.0,0.17,7.7233240955337585,9.050625630789485,8.911287117142912,1.1384822369189016,1.0,1.0,1.0
open_graded,cautious_high_alpha,4204,1890.0,9.45,0.03333333333333333,21.0,0.175,9.07897200152136,8.808840629716308,9.18668300166897,1.0279611801345934,1.0,1.0,1.0
open_graded,cautious_high_alpha,4205,1789.5,8.9475,0.06666666666666667,20.0,0.3525,9.057315380403754,8.962953758331452,8.483710783093933,1.0693772838099918,1.0,5.0,5.0
open_graded,cautious_high_alpha,4206,1892.0,9.46,0.1,4.0,0.4625,8.833190024335352,8.829764273543216,9.167684663371318,0.9793181034029377,2.0,1.0,0.5
open_graded,cautious_high_alpha,4207,1894.5,9.4725,0.03333333333333333,4.0,0.475,8.67199432378484,8.261105095897584,8.179712637963211,1.131486590921023,1.0,1.0,1.0
open_graded,cautious_high_alpha,4208,1862.5,9.3125,0.03333333333333333,7.0,0.3775,9.14927948367621,8.63969772833089,8.443013514945106,0.8256587131770687,2.0,2.0,1.0
open_graded,cautious_high_alpha,4209,1838.5,9.1925,0.03333333333333333,33.0,0.35,8.249259152955464,7.631887419893263,7.5904479313620765,1.172908861011678,3.0,1.0,0.3333333333333333
open_graded,cautious_high_alpha,4210,1877.0,9.385,0.23333333333333334,4.0,0.365,9.009558261627207,9.146802910940956,8.755849955589742,0.8562029535816184,1.0,5.0,5.0
open_graded,cautious_high_alpha,4211,1915.5,9.5775,0.03333333333333333,4.0,0.4675,8.92771437067584,8.427314813964381,8.101438106611592,1.1529563595048125,3.0,1.0,0.3333333333333333
open_graded,cautious_high_alpha,4212,1816.5,9.0825,0.03333333333333333,4.0,0.2775,9.202731847951862,8.768124819305818,9.034290474385452,0.9551577788830264,3.0,1.0,0.3333333333333333
open_graded,cautious_high_alpha,4213,1860.0,9.3,0.0,4.0,0.2875,9.053487016315426,7.980072566299822,7.601753245579683,1.162064679276002,2.0,1.0,0.5
open_graded,cautious_high_alpha,4214,1837.0,9.185,0.03333333333333333,8.0,0.44,9.09084055723009,8.944160096845449,8.934161915442152,1.0107489179265954,1.0,1.0,1.0
open_graded,cautious_high_alpha,4215,1880.5,9.4025,0.03333333333333333,4.0,0.35,8.840485178143778,9.009159403834106,8.683824220995012,0.9129045368331794,1.0,3.0,3.0
open_graded,cautious_high_alpha,4216,1897.0,9.485,0.13333333333333333,4.0,0.4525,9.207040222435138,8.630271243271975,8.38194053707308,1.165909054020115,1.0,1.0,1.0
open_graded,cautious_high_alpha,4217,1876.5,9.3825,0.06666666666666667,16.0,0.51,9.028283718122825,8.921891366582038,8.76626715526812,0.7986677649394821,1.0,2.0,2.0
open_graded,cautious_high_alpha,4218,1926.0,9.63,0.03333333333333333,4.0,0.575,8.43636274948472,8.50933300808563,8.331348568484504,0.9938070922891674,1.0,3.0,3.0
open_graded,cautious_high_alpha,4219,1934.0,9.67,0.0,5.0,0.6025,8.42728535738593,8.494714250185394,8.882674459337307,0.9182725161658165,2.0,1.0,0.5
open_graded,cautious_low_alpha,4200,1911.0,9.555,0.06666666666666667,4.0,0.4525,8.792085625671353,8.93367120302233,8.923698505653292,0.2732555598199607,1.0,1.0,1.0
open_graded,cautious_low_alpha,4201,1930.5,9.6525,0.03333333333333333,4.0,0.5525,8.953804952664125,8.70834949942531,8.916163773446714,0.23785023304298908,2.0,2.0,1.0
open_graded,cautious_low_alpha,4202,1795.0,8.975,0.03333333333333333,39.0,0.41,9.01421004093473,8.989149875262283,8.90594765678838,0.2881218938234332,1.0,3.0,3.0
open_graded,cautious_low_alpha,4203,1874.0,9.37,0.06666666666666667,4.0,0.545,8.93967052210087,8.67090212511229,8.682096194104473,0.26017972164793574,1.0,1.0,1.0
open_graded,cautious_low_alpha,4204,2146.0,10.73,0.03333333333333333,65.0,0.505,8.960602107367643,8.7445552328536,8.780631187294363,0.3281174316618739,1.0,1.0,1.0
open_graded,cautious_low_alpha,4205,1834.5,9.1725,0.03333333333333333,4.0,0.33,9.169158090500678,9.07003975844537,9.020813876472994,0.3066481406614479,2.0,3.0,1.5
open_graded,cautious_low_alpha,4206,1883.5,9.4175,0.03333333333333333,4.0,0.5225,8.930808649591354,8.567297515987148,8.677351034330549,0.2410481628776649,1.0,2.0,2.0
open_graded,cautious_low_alpha,4207,1927.5,9.6375,0.06666666666666667,4.0,0.535,9.033368547259663,8.696162310585665,8.658160195196796,0.2530759142537298,1.0,1.0,1.0
open_graded,cautious_low_alpha,4208,1903.0,9.515,0.03333333333333333,4.0,0.5175,9.002818159886388,8.564201154729291,8.558231501899499,0.26176964717946133,1.0,1.0,1.0
open_graded,cautious_low_alpha,4209,2147.0,10.735,0.13333333333333333,4.0,0.595,8.966779278072963,8.086286766880965,8.031394795406694,0.2878063666798643,3.0,1.0,0.3333333333333333
open_graded,cautious_low_alpha,4210,1916.5,9.5825,0.2,4.0,0.5325,9.1243656594805,8.692789151779513,8.667372933233409,0.2646964595366384,1.0,1.0,1.0
