experiment_id,variant_id,seed,cumulative_payoff,mean_payoff,early_exploitation_rate,betrayal_recovery_time,post_betrayal_p0_selection_rate,post_betrayal_p0_high_investment_rate,selection_gini,entropy_early,entropy_mid,entropy_late,beta_range,trust_approach_latency,trust_withdrawal_latency,trust_asymmetry
betrayal,no_affect,14213,2237.5,11.1875,0.0,4.0,0.175,0.1,0.5075,6.8646747628282405,7.114497633163417,7.132672580362487,,1.0,11.0,11.0
betrayal,no_affect,14214,2302.5,11.5125,0.0,34.0,0.025,0.025,0.6725,6.90288852182712,6.520693864593269,6.364081520143364,,4.0,1.0,0.25
betrayal,no_affect,14215,2192.5,10.9625,0.0,,0.175,0.075,0.6125,7.067287741302594,6.7723380523897125,6.5340309634806815,,1.0,4.0,4.0
betrayal,no_affect,14216,2164.5,10.8225,0.0,5.0,0.95,0.675,0.6375,6.90067971003836,6.901298336470608,7.165767849725098,,1.0,1.0,1.0
betrayal,no_affect,14217,2332.0,11.66,0.0,8.0,0.05,0.0,0.6975,6.7415691067734835,6.3419543543778,6.347242822471925,,2.0,1.0,0.5
betrayal,no_affect,14218,2174.5,10.8725,0.0,,0.075,0.025,0.62,7.230056732520953,6.772829603313311,6.7797408094697795,,1.0,4.0,4.0
betrayal,no_affect,14219,2250.0,11.25,0.0,,0.05,0.025,0.465,7.257335004496506,7.180456906812785,7.0951200662747125,,1.0,5.0,5.0
open_graded,cautious_high_alpha,4200,2405.0,12.025,0.0,4.0,,,0.7325,4.0959885329155785,4.028327872009056,3.9295740262317396,0.416589153663013,1.0,71.0,71.0
open_graded,cautious_high_alpha,4201,2258.5,11.2925,0.03333333333333333,4.0,,,0.63,7.915181180824268,4.365762492733515,3.7791793058252585,0.7347758757668325,1.0,1.0,1.0
open_graded,cautious_high_alpha,4202,2328.0,11.64,0.0,4.0,,,0.725,5.3982158682454155,4.2402780007123315,4.1620808058955046,0.35971264393962854,1.0,2.0,2.0
open_graded,cautious_high_alpha,4203,1868.0,9.34,0.1,4.0,,,0.275,8.028317887673513,7.428190787976728,7.368485165808424,1.1433845296402496,2.0,1.0,0.5
open_graded,cautious_high_alpha,4204,2338.5,11.6925,0.06666666666666667,,,,0.725,4.880204872155344,4.04400171155067,4.051625804064402,0.34865879757652274,1.0,5.0,5.0
open_graded,cautious_high_alpha,4205,2095.0,10.475,0.0,,,,0.5875,7.988835931532515,5.573941561781801,5.358944147461914,0.586316624482283,1.0,1.0,1.0
open_graded,cautious_high_alpha,4206,2293.0,11.465,0.03333333333333333,79.0,,,0.715,4.925072350998113,4.407801775469308,4.236372523298133,0.36232418654145376,1.0,7.0,7.0
open_graded,cautious_high_alpha,4207,2340.5,11.7025,0.0,,,,0.7425,4.615023270563521,4.151612075566746,4.119998100495277,0.31179904445763473,1.0,4.0,4.0
open_graded,cautious_high_alpha,4208,2321.0,11.605,0.03333333333333333,4.0,,,0.735,4.95282881163217,4.179827531994539,4.003628847146626,0.31290014692392015,1.0,2.0,2.0
open_graded,cautious_high_alpha,4209,1833.5,9.1675,0.13333333333333333,,,,0.34,7.62536851835382,6.01325772299738,6.6629520349596545,1.0136346329163515,4.0,1.0,0.25
open_graded,cautious_high_alpha,4210,1935.0,9.675,0.03333333333333333,9.0,,,0.43,7.7870646488756075,6.518541056679833,5.80700907143043,0.7709846712193635,3.0,1.0,0.3333333333333333
